Year,Month,Day,Capital,Max Risk,No of lots,Trade Risk,Entry,Entry Time,Point Risk,Exit,Exit Time,PnL,New Capital
2017,08,28,990688.7499999999,9906.887499999999,2.0,7500.0,9907.15,2017-08-28 09:15:00+05:30,100.0,9913.85,2017-08-28 15:20:00+05:30,716.2500000000819,991405.0
2017,08,30,991405.0,9914.050000000001,2.0,7500.0,9859.5,2017-08-30 09:15:00+05:30,100.0,9882.9,2017-08-30 15:20:00+05:30,1886.2499999999725,993291.25
2017,09,01,993291.25,9932.9125,2.0,7500.0,9940.6,2017-09-01 09:44:00+05:30,100.0,9969.35,2017-09-01 15:20:00+05:30,2343.75,995635.0
2017,09,05,995635.0,9956.35,2.0,7500.0,9933.25,2017-09-05 09:15:00+05:30,100.0,9953.7,2017-09-05 15:20:00+05:30,1545.0000000000273,997180.0
2017,09,07,997180.0,9971.800000000001,2.0,7500.0,9945.85,2017-09-07 09:15:00+05:30,100.0,9929.4,2017-09-07 15:20:00+05:30,-1233.7500000000546,995946.25
2017,09,08,995946.25,9959.4625,2.0,7500.0,9958.65,2017-09-08 09:15:00+05:30,100.0,9931.75,2017-09-08 15:20:00+05:30,-1987.5,993958.75
2017,09,11,993958.75,9939.5875,2.0,7500.0,9971.75,2017-09-11 09:15:00+05:30,100.0,10002.4,2017-09-11 15:20:00+05:30,2411.2499999999727,996370.0
2017,09,12,996370.0,9963.7,2.0,7500.0,10056.85,2017-09-12 09:15:00+05:30,100.0,10092.3,2017-09-12 15:20:00+05:30,2775.0,999145.0
2017,09,13,999145.0,9991.45,2.0,7500.0,10113.85,2017-09-13 09:52:00+05:30,100.0,10075.85,2017-09-13 15:20:00+05:30,-2775.0,996370.0
2017,09,14,996370.0,9963.7,2.0,7500.0,10111.35,2017-09-14 09:18:00+05:30,100.0,10085.0,2017-09-14 15:20:00+05:30,-1833.7500000000546,994536.25
2017,09,18,994536.25,9945.362500000001,2.0,7500.0,10133.1,2017-09-18 09:15:00+05:30,100.0,10152.0,2017-09-18 15:20:00+05:30,1559.9999999999454,996096.25
2017,09,27,996096.25,9960.9625,2.0,7500.0,9920.6,2017-09-27 09:15:00+05:30,100.0,9818.7,2017-09-27 10:32:00+05:30,-7642.499999999973,988453.75
2017,09,29,988453.75,9884.5375,2.0,7500.0,9814.3,2017-09-29 09:15:00+05:30,100.0,9780.75,2017-09-29 15:20:00+05:30,-2234.9999999999454,986218.75
2017,10,03,986218.75,9862.1875,2.0,7500.0,9893.3,2017-10-03 09:15:00+05:30,100.0,9858.95,2017-10-03 15:20:00+05:30,-2504.9999999999727,983713.75
2017,10,04,983713.75,9837.1375,2.0,7500.0,9884.35,2017-10-04 09:15:00+05:30,100.0,9909.3,2017-10-04 15:20:00+05:30,2058.749999999918,985772.4999999999
2017,10,06,985772.4999999999,9857.724999999999,2.0,7500.0,9925.8,2017-10-06 09:15:00+05:30,100.0,9983.15,2017-10-06 15:20:00+05:30,4485.000000000082,990257.5
2017,10,09,990257.5,9902.575,2.0,7500.0,10013.4,2017-10-09 10:01:00+05:30,100.0,9988.35,2017-10-09 15:20:00+05:30,-1800.0,988457.5
2017,10,10,988457.5,9884.575,2.0,7500.0,10013.7,2017-10-10 09:15:00+05:30,100.0,10011.3,2017-10-10 15:20:00+05:30,-15.00000000005457,988442.5
2017,10,11,988442.5,9884.425000000001,2.0,7500.0,10042.6,2017-10-11 09:15:00+05:30,100.0,9977.8,2017-10-11 15:20:00+05:30,-4833.750000000055,983608.75
2017,10,12,983608.75,9836.0875,2.0,7500.0,10011.2,2017-10-12 09:15:00+05:30,100.0,10096.15,2017-10-12 15:20:00+05:30,6393.75,990002.5
